entity_id,entity_name,merchant_category,risk_score,risk_level,risk_factors,entity_type,kyc_status
MCH7953,Deep Group,Grocery Stores,25.0,LOW,Average transaction (12706) exceeds declared ticket (1669) by 7.6x,MERCHANT,
MCH6720,"Dhingra, Shukla And Edwin",Medical,25.0,LOW,Average transaction (18830) exceeds declared ticket (638) by 29.5x,MERCHANT,
MCH2492,"Dhawan, Salvi And Dara",Food,65.0,HIGH,Severe chargeback ratio (50.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH8068,Narula-Nadkarni,Transprt,45.0,MEDIUM,Severe chargeback ratio (33.3%),MERCHANT,
MCH3641,"Khurana, Barman And Suresh",Fashion,25.0,LOW,Settlement account shared with multiple merchant entities,MERCHANT,
MCH9785,Nagarajan Plc,Cloths,25.0,LOW,Average transaction (13214) exceeds declared ticket (2710) by 4.9x,MERCHANT,
MCH9015,Prashad Inc,Restaurants,25.0,LOW,Average transaction (9067) exceeds declared ticket (787) by 11.5x,MERCHANT,
MCH5747,"Narasimhan, Doshi And Pall",Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2064,Date And Sons,Restaurant,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH3898,Wadhwa-Sahni,Fashion,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6262,Saran Ltd,Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH5447,Chhabra-Bajaj,Grocery_Store,25.0,LOW,Average transaction (7416) exceeds declared ticket (364) by 20.4x,MERCHANT,
MCH7111,Kohli-Zachariah,Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9749,"Vasa, Jha And Babu",Hospitality,25.0,LOW,Average transaction (6153) exceeds declared ticket (277) by 22.2x,MERCHANT,
MCH5502,Dutta And Sons,Department Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3452,"Tandon, Oza And Sharma",Grocery Stores,65.0,HIGH,Severe chargeback ratio (33.3%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH9944,"Parikh, Mutti And Saha",Transportation,70.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (22361) exceeds declared ticket (1827) by 12.2x; High frequency of missing UTRs (1/3),MERCHANT,
MCH1652,Tripathi-Vasa,Dept_Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH6676,Balakrishnan-Baral,Transport,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH9975,Nadkarni-Sane,Misc Retail,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH5786,"Bhasin, Manda1 And Tank",Bus/Taxi,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1628,"Rao, Buch And Kala",Pharmacy,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6017,"Loyal, Sidhu And Balay",Telecom,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1884,Nagi Llc,Transprt,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2177,"Boase, Bajaj And Krish",Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1580,"Subramaniam, Krishnamurthy And Din",Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4331,"Wali, Buch And Nagi",Garments,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH2770,"Deep, Ganguly And Solanki",Clothing,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH6675,Vora And Sons,Cloths,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH7597,Vohra-Mitter,Bus/Taxi,25.0,LOW,Average transaction (10375) exceeds declared ticket (2112) by 4.9x,MERCHANT,
MCH7113,"Jain,Bhattiandsha",Books_Stationery,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (10145) exceeds declared ticket (1922) by 5.3x,MERCHANT,
MCH2896,Jayaraman-Nazareth,Medical_Store,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH3189,Prasad Inc,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9831,Deep-Kanda,Phone Service,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7509,Narasimhan-Naidu,Garments,60.0,HIGH,Severe chargeback ratio (50.0%); Average transaction (14231) exceeds declared ticket (1271) by 11.2x,MERCHANT,
MCH4746,"Srivastava, Bhattacharyya And Morar",Miscellaneous,55.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (12081) exceeds declared ticket (403) by 30.0x; High frequency of missing UTRs (1/3),MERCHANT,
MCH4459,Agate-Majumdar,Transprt,25.0,LOW,Average transaction (10194) exceeds declared ticket (211) by 48.3x,MERCHANT,
MCH7688,"Kata, Bobal And Basu",Medical_Store,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH8241,Bhasin And Sons,Retail Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1039,Lal-Barad,Telecom,25.0,LOW,Average transaction (9752) exceeds declared ticket (3062) by 3.2x,MERCHANT,
MCH6548,"Nayak, Kannan And Chatterjee",Retail Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6224,La1-Anand,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2403,Chana-Yohannan,Groceries,25.0,LOW,Average transaction (20732) exceeds declared ticket (574) by 36.1x,MERCHANT,
MCH4490,"Doshi, Raj And Bumb",Groceries,25.0,LOW,Average transaction (12576) exceeds declared ticket (748) by 16.8x,MERCHANT,
MCH6101,Dora-Bajwa,Medical,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9016,Upadhyay-Sethi,Telecom,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH5141,Sinha Ltd,Apparel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5834,Sundaram-Sarkar,Food,25.0,LOW,Average transaction (16175) exceeds declared ticket (1502) by 10.8x,MERCHANT,
MCH1588,Doctor Ltd,Transportation,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH1479,"Mandal, Barad And Srinivasan",Books,25.0,LOW,Settlement account shared with multiple merchant entities,MERCHANT,
MCH8825,"Mandal, Chaudhari And Savant",Garments,35.0,MEDIUM,Average transaction (9833) exceeds declared ticket (1817) by 5.4x; High frequency of missing UTRs (1/3),MERCHANT,
MCH2480,Banik-Nagar,Eating Place,35.0,MEDIUM,Average transaction (14446) exceeds declared ticket (3594) by 4.0x; High frequency of missing UTRs (1/3),MERCHANT,
MCH7817,Lata Plc,Food_Services,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH3487,Subramanian Inc,Restaurant,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8031,Chokshi Ltd,Hotels,25.0,LOW,Average transaction (16487) exceeds declared ticket (2110) by 7.8x,MERCHANT,
MCH7933,Baradinc,Food,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (9901) exceeds declared ticket (1177) by 8.4x,MERCHANT,
MCH7121,"Narasimhan, Anand And Gaba",Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8755,"Biswas, Divan And Sachdeva",Hotel_Lodging,80.0,HIGH,Severe chargeback ratio (50.0%); Merchant account currently SUSPENDED; High frequency of missing UTRs (1/2),MERCHANT,
MCH7651,Sur Inc,Medical,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2024,"Ram, Manda And Chopra",Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8692,Singhal-Mane,Misc Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4524,Tara Ltd,Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5253,Balakrishnan Plc,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4496,"Pandya, Bhalla And Malhotra",Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2897,Bath Ltd,Other,25.0,LOW,Average transaction (14076) exceeds declared ticket (2239) by 6.3x,MERCHANT,
MCH2763,Thaman-Virk,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7977,"Kohli, Vaidya And Nagar",Hotel_Lodging,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1817,"Mohanty, Behl And Rao",Transport,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1388,"Kala, Kunda And Pandit",Medical,25.0,LOW,Average transaction (12785) exceeds declared ticket (3155) by 4.1x,MERCHANT,
MCH8512,Luthra-Bhasin,Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7356,"Divan, Rastogi And Prabhu",Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8660,"Ben, Guha And Sabharwa1",Food_Services,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6016,Goda Inc,Books,25.0,LOW,Average transaction (19913) exceeds declared ticket (1254) by 15.9x,MERCHANT,
MCH8263,"Gara, Kar And Raval",Cloths,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4552,"Palla, Mutti And Jayaraman",Transportation,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (7687) exceeds declared ticket (913) by 8.4x,MERCHANT,
MCH9697,Walla Ltd,Telecom,25.0,LOW,Average transaction (10342) exceeds declared ticket (1082) by 9.6x,MERCHANT,
MCH7552,Som And Sons,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7605,Kakar-Dhi110N,Retail,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1401,Din And Sons,Grocery,45.0,MEDIUM,Elevated chargeback ratio (16.7%); Average transaction (13419) exceeds declared ticket (286) by 46.9x,MERCHANT,
MCH2495,"Sibal, Shankar And Malhotra",Apparel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7095,"Sachdev, Sunder And Dalal",Book Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6839,Saha Llc,Groceries,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH9319,Ladinc,Garments,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH6583,"Iyengar, Puri And Tiwari",Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH8644,M0Re-L0Ke,Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7517,"Banik, Kamdar And Dada",Cloths,25.0,LOW,Average transaction (12585) exceeds declared ticket (2047) by 6.1x,MERCHANT,
MCH3674,Wason And Sons,Restaurant,55.0,MEDIUM,Severe chargeback ratio (25.0%); High frequency of missing UTRs (2/4),MERCHANT,
MCH7780,Jain Plc,Medical_Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH8681,Suri Ltd,Clothing,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH5129,"Kant, Chaudhari And Sarna",Transport,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5494,Raja Ltd,Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5765,Murty Inc,Transport,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH6543,Nagi-Pradhan,Grocery_Store,25.0,LOW,Average transaction (9403) exceeds declared ticket (2786) by 3.4x,MERCHANT,
MCH8296,Gara Inc,Groceries,30.0,LOW,Elevated chargeback ratio (16.7%),MERCHANT,
MCH6059,Bhargava Plc,Hotels,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH6991,Dani Ltd,Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6948,"Kala,Lokeandsinghal",Phone Service,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3085,"Sarkar, Memon And Mand",Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4962,Venkataraman-Mannan,Books,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH9798,Mann-Gera,Transprt,45.0,MEDIUM,Elevated chargeback ratio (14.3%); Average transaction (14692) exceeds declared ticket (952) by 15.4x,MERCHANT,
MCH5676,"Bhatti, Chahal And Mishra",Retail,25.0,LOW,Average transaction (14826) exceeds declared ticket (745) by 19.9x,MERCHANT,
MCH4414,"Manne, Arora And Goel",Groceries,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9945,"Pant, Hayre And Pathak",Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4964,Sarkar-Goda,Dept_Store,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (16614) exceeds declared ticket (1517) by 11.0x,MERCHANT,
MCH2993,"Dube, Yadav And Konda",Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4630,Bhandari Group,Hotel,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH7524,"Sarna, Mital And Deo",Hospitality,25.0,LOW,Average transaction (13720) exceeds declared ticket (1847) by 7.4x,MERCHANT,
MCH4782,Salvi-Comar,Hotel,55.0,MEDIUM,Severe chargeback ratio (33.3%); High frequency of missing UTRs (2/3),MERCHANT,
MCH8529,Pradhan Plc,Stationery,25.0,LOW,Average transaction (21307) exceeds declared ticket (477) by 44.7x,MERCHANT,
MCH4319,"Chaudhry, Rajan And Lad",Eating Place,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH5193,Shetty Inc,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2857,Bhattacharyya Inc,Transprt,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH4805,"Krishnan, Bhatnagar And Prasad",Stationery,25.0,LOW,Average transaction (23154) exceeds declared ticket (285) by 81.3x,MERCHANT,
MCH9154,"Pal, Dara And Yadav",Retail Other,35.0,MEDIUM,Average transaction (12152) exceeds declared ticket (3888) by 3.1x; High frequency of missing UTRs (2/4),MERCHANT,
MCH1626,"Pau, Iyengar And Khare",Misc Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9095,Mital-Reddy,Mobile Recharge,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH1885,Mahal Ltd,Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1501,Anand-Bhatt,Telecom,25.0,LOW,Average transaction (16350) exceeds declared ticket (4186) by 3.9x,MERCHANT,
MCH1457,Shetty Group,Other,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (18582) exceeds declared ticket (1159) by 16.0x,MERCHANT,
MCH4153,Shroff Ltd,Retail Other,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (17781) exceeds declared ticket (3579) by 5.0x,MERCHANT,
MCH8539,Arya-Char,Apparel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7767,Nadkarni-Pathak,Hospitality,25.0,LOW,Average transaction (13138) exceeds declared ticket (3595) by 3.7x,MERCHANT,
MCH6451,Chandran Group,Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH3533,Tiwari-Gulati,Hotel_Lodging,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8329,"Halder, Panchal And Pandit",Retail Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7692,Ratti-Patla,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5997,"Kothari,Basuandkothari",Medical,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (11776) exceeds declared ticket (2459) by 4.8x,MERCHANT,
MCH6716,Shan Plc,Garments,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (10032) exceeds declared ticket (1209) by 8.3x,MERCHANT,
MCH8965,Lal And Sons,Books,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2536,Divan-Radhakrishnan,Transprt,20.0,LOW,High frequency of missing UTRs (1/3),MERCHANT,
MCH4812,Rai-Aurora,Hospitality,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH3030,"Sengupta, Bhagat And Kota",Stationery,25.0,LOW,Average transaction (15380) exceeds declared ticket (194) by 79.2x,MERCHANT,
MCH5619,"Iyer, Lata And Bhatnagar",Transprt,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4236,"Sinha, Shukla And Lad",Apparel,25.0,LOW,Average transaction (15221) exceeds declared ticket (844) by 18.0x,MERCHANT,
MCH9883,"K0Rpa1, Bera And Sachdeva",Phone Service,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4822,Sama-Keer,Transportation,25.0,LOW,Average transaction (8638) exceeds declared ticket (737) by 11.7x,MERCHANT,
MCH8417,Bhalla-Batta,Department Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4912,Devi Group,Grocery,45.0,MEDIUM,Severe chargeback ratio (200.0%),MERCHANT,
MCH4775,"Divan, Buch And Kunda",Phone Service,65.0,HIGH,Severe chargeback ratio (50.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH8446,Kuruvi11A Gr0Up,Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7452,Kala Llc,Department Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3856,"Pandit, Karnik And Kurian",Medical,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4338,Johal-Dara,Hotel,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH9623,Subramanian Llc,Medical,25.0,LOW,Average transaction (15870) exceeds declared ticket (1227) by 12.9x,MERCHANT,
MCH3659,Kashyap Llc,Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9129,"Sinha, Chauhan And Sathe",Grocery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4736,"Jani, Chaudhry And Chaudhuri",Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4390,Ar0Ra Llc,Restaurants,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8545,Taneja And Sons,Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6254,Murthy Group,Telecom,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH7463,Chaudry-Natarajan,Medical_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9635,Parekh-Mammen,Grocery,25.0,LOW,Average transaction (13572) exceeds declared ticket (1534) by 8.8x,MERCHANT,
MCH5370,Lala Llc,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3712,Narain-Vaidya,Hotels,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6665,Wadhwainc,Department Store,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (12296) exceeds declared ticket (1715) by 7.2x,MERCHANT,
MCH5328,Kaur Group,Garments,25.0,LOW,Average transaction (14195) exceeds declared ticket (1594) by 8.9x,MERCHANT,
MCH9843,"Banerjee, Singh And Anne",Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8870,Solanki-Cherian,Transportation,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (16418) exceeds declared ticket (1597) by 10.3x,MERCHANT,
MCH3244,Murthy Group,Medical_Store,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH7948,Sachdeva-Buch,Department Stores,25.0,LOW,Average transaction (16990) exceeds declared ticket (657) by 25.9x,MERCHANT,
MCH3946,Dhar-Buch,Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8910,Varkey Group,Pharmacies,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4587,Karnik And Sons,Retail,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (11496) exceeds declared ticket (2493) by 4.6x,MERCHANT,
MCH8789,"Pingle,Nadigandnarula",Food_Services,55.0,MEDIUM,Severe chargeback ratio (33.3%); High frequency of missing UTRs (1/3),MERCHANT,
MCH6939,Sampath Ltd,Misc Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5611,Walia-Lad,Hospitality,35.0,MEDIUM,Average transaction (13058) exceeds declared ticket (269) by 48.5x; High frequency of missing UTRs (1/3),MERCHANT,
MCH7400,Chaudhari Ltd,Other,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH7145,Ratti And Sons,Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9104,Goel Plc,Department Stores,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (14979) exceeds declared ticket (2640) by 5.7x,MERCHANT,
MCH9102,Sastry-Wali,Books_Stationery,25.0,LOW,Average transaction (14673) exceeds declared ticket (1846) by 7.9x,MERCHANT,
MCH1007,Jain-Wadhwa,Hotel_Lodging,65.0,HIGH,Severe chargeback ratio (33.3%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH8005,"Kumar, Ahluwalia And Thaman",Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4248,"Bahl, Prashad And Reddy",Department Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4275,"Boase, Chanda And Bajaj",Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8953,Narayan-Uppal,Pharmacy,75.0,HIGH,Severe chargeback ratio (900.0%); Average transaction (13636) exceeds declared ticket (2727) by 5.0x; Multiple CRITICAL severity fraud disputes (2),MERCHANT,
MCH1769,"Sekhon, Goswami And Rajan",Telecom,25.0,LOW,Average transaction (8058) exceeds declared ticket (1010) by 8.0x,MERCHANT,
MCH7795,Prakash Llc,Travel,25.0,LOW,Average transaction (10492) exceeds declared ticket (957) by 11.0x,MERCHANT,
MCH6365,Bora-Sood,Department Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2623,Dara-Kulkarni,Books_Stationery,20.0,LOW,High frequency of missing UTRs (1/1),MERCHANT,
MCH6083,"Shah, Deep And Swaminathan",Grocery_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3511,"Konda, Venkatesh And Jha",Grocery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4100,Raja-Vasa,Hospitality,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6593,Sharma-Ahuja,Kirana,25.0,LOW,Average transaction (11619) exceeds declared ticket (3095) by 3.8x,MERCHANT,
MCH5245,"Bhatt, Kakar And Boase",Retail,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH3129,"Ghose,Hariandgarde",Grocery_Store,55.0,MEDIUM,Severe chargeback ratio (150.0%); High frequency of missing UTRs (1/2),MERCHANT,
MCH5716,Nadig Inc,Phone Service,25.0,LOW,Average transaction (15606) exceeds declared ticket (1812) by 8.6x,MERCHANT,
MCH1934,"Deol,Dugarandparmer",Stationery,25.0,LOW,Average transaction (13052) exceeds declared ticket (2521) by 5.2x,MERCHANT,
MCH9151,Ravi Ltd,Transport,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH4930,Dasgupta-Dua,Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2422,Sampath-Balasubramanian,Phone Service,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH7126,Deol Ltd,Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4916,Rama-Patel,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5787,Bassi Inc,Hotel_Lodging,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (7225) exceeds declared ticket (556) by 13.0x,MERCHANT,
MCH4243,"Ramesh, Venkatesh And Ravel",Retail,25.0,LOW,Average transaction (17874) exceeds declared ticket (133) by 134.1x,MERCHANT,
MCH2220,Tailor And Sons,Dept_Store,25.0,LOW,Average transaction (9583) exceeds declared ticket (941) by 10.2x,MERCHANT,
MCH3732,"Bhat, Sarin And Wag1E",Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5482,"Baral, Tak And Rajan",Eating Place,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2675,Venkataraman-Rastogi,Book Store,25.0,LOW,Average transaction (13903) exceeds declared ticket (878) by 15.8x,MERCHANT,
MCH2730,Hans Llc,Miscellaneous,25.0,LOW,Average transaction (13008) exceeds declared ticket (1392) by 9.3x,MERCHANT,
MCH2590,Goyal Group,Hospitality,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9861,"Mukherjee, Murthy And Jani",Transport,25.0,LOW,Average transaction (13512) exceeds declared ticket (720) by 18.8x,MERCHANT,
MCH4454,"Varghese, Shenoy And Mahajan",Restaurants,25.0,LOW,Average transaction (11626) exceeds declared ticket (1952) by 6.0x,MERCHANT,
MCH8473,"Tella, Dara And Krish",Phone Service,25.0,LOW,Average transaction (14344) exceeds declared ticket (321) by 44.7x,MERCHANT,
MCH9560,Puri-Ahluwalia,Misc Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2438,Saxena-Sagar,Misc Retail,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (3901) exceeds declared ticket (1010) by 3.9x,MERCHANT,
MCH6707,Kari Ltd,Books,25.0,LOW,Average transaction (15329) exceeds declared ticket (1949) by 7.9x,MERCHANT,
MCH8338,Basu Ltd,Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7586,Randhawainc,Eating Place,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH6274,Mall Inc,Hotel_Lodging,25.0,LOW,Average transaction (17437) exceeds declared ticket (1700) by 10.3x,MERCHANT,
MCH7268,Mand-Char,Pharmacies,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2964,Bala-Sarkar,Phone Service,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6741,Parikh-Bhatt,Hotel,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH5204,Sibal-Kanda,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3742,"Mall, Sarma And Merchant",Miscellaneous,25.0,LOW,Average transaction (15866) exceeds declared ticket (331) by 48.0x,MERCHANT,
MCH7768,Sahota-Walia,Bus/Taxi,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH8749,"Tara, Parmer And Walla",Travel,65.0,HIGH,Severe chargeback ratio (50.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH4526,"Mittal, Saha And Puri",Apparel,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH9542,"Singh, Johal And Khalsa",Book Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2766,Kanda-Brahmbhatt,Dept_Store,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH2336,Narasimhan Inc,Grocery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1926,Bhattacharyya-Om,Dept_Store,25.0,LOW,Average transaction (18072) exceeds declared ticket (2425) by 7.5x,MERCHANT,
MCH6099,Yadav Llc,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2357,Shan Ltd,Retail Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6246,Zachariah Group,Cloths,25.0,LOW,Average transaction (9612) exceeds declared ticket (1511) by 6.4x,MERCHANT,
MCH5958,"Panchal, Krishnan And Thakkar",Restaurants,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH2172,"Taneja, Raj And Vora",Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1148,Deep-Manda,Bus/Taxi,55.0,MEDIUM,Severe chargeback ratio (50.0%); High frequency of missing UTRs (1/2),MERCHANT,
MCH5523,Behl Inc,Cloths,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4383,Vala Llc,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6711,Loyal-Srinivasan,Grocery,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH5125,Dave And Sons,Food_Services,25.0,LOW,Average transaction (18858) exceeds declared ticket (838) by 22.5x,MERCHANT,
MCH6875,Anand-Bajwa,Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8911,Bava Llc,Books,10.0,LOW,Normal operational parameters,MERCHANT,
